date_inf,sum,mining,produce,supply,water
01.01.2019,94.7,92.0,93.8,99.9,114.2
01.02.2019,98.7,83.4,98.2,109.5,120.9
22.02.2019,91.9,93.0,89.9,100.5,102.7
29.03.2019,97.2,88.4,100.3,84.0,117.0
26.04.2019,115.7,121.9,117.4,106.5,95.0
31.05.2019,99.2,101.9,102.1,78.1,105.2
28.06.2019,100.4,105.4,99.2,103.2,114.5
26.07.2019,93.8,100.8,92.5,97.0,97.8
23.08.2019,100.7,100.5,103.0,82.1,102.2
27.09.2019,104.6,101.7,103.3,122.5,97.0
25.10.2019,94.2,96.2,94.5,88.0,100.3
29.11.2019,110.5,106.7,108.9,129.1,109.9
27.12.2019,92.3,76.5,91.3,109.5,104.6
01.02.2020,101.5,95.3,101.4,106.0,101.9
22.02.2020,87.5,87.5,85.7,95.9,99.6
29.03.2020,104.7,99.8,107.6,93.0,101.3
26.04.2020,102.6,117.8,103.3,91.3,97.8
31.05.2020,88.2,91.7,88.6,82.6,93.0
28.06.2020,99.3,106.8,99.9,89.7,99.4
26.07.2020,99.2,110.3,97.9,99.3,101.9
23.08.2020,114.9,114.9,116.6,105.5,100.0
27.09.2020,100.9,102.6,99.1,116.8,96.1
25.10.2020,105.7,86.3,108.1,105.0,106.3
29.11.2020,104.6,99.8,105.6,101.7,101.7
27.12.2020,97.9,97.2,94.2,123.2,116.3
01.02.2021,111.3,99.3,113.8,105.8,100.3
22.02.2021,81.0,108.0,75.2,104.6,76.6
29.03.2021,106.8,84.0,112.2,93.8,106.9
26.04.2021,104.2,113.6,103.6,103.5,103.4
31.05.2021,100.4,104.3,103.7,82.1,102.3
28.06.2021,96.4,104.4,96.3,91.1,105.2
26.07.2021,95.9,103.9,95.5,91.9,104.0
23.08.2021,101.7,106.5,101.9,97.4,100.7
27.09.2021,101.6,94.4,102.7,99.6,100.6
25.10.2021,95.8,95.3,95.6,95.9,103.4
29.11.2021,109.9,95.1,107.5,141.2,100.3
27.12.2021,103.7,98.4,99.6,129.9,101.3
01.02.2022,100.1,95.7,101.4,96.2,97.2
22.02.2022,77.8,87.4,74.5,97.7,68.2
29.03.2022,114.3,84.3,121.6,91.3,103.8
26.04.2022,101.0,107.6,101.0,98.1,102.3
31.05.2022,91.1,133.0,89.0,86.6,100.5
28.06.2022,89.7,104.8,90.4,73.2,95.2
26.07.2022,93.9,98.0,94.7,79.7,104.4
23.08.2022,98.7,95.9,98.8,100.2,100.2
27.09.2022,100.6,109.4,99.4,104.0,97.4
25.10.2022,101.3,88.7,102.6,103.7,99.9
29.11.2022,105.4,101.4,104.2,122.8,98.4
27.12.2022,95.4,76.0,94.9,113.6,102.8
01.02.2023,102.9,90.3,101.6,119.3,101.0
22.02.2023,88.8,111.4,86.5,91.5,98.8
29.03.2023,109.4,83.4,114.2,94.9,112.5
26.04.2023,108.0,150.2,106.4,102.8,95.3
31.05.2023,97.7,93.2,99.7,83.2,111.1
28.06.2023,95.4,102.5,96.7,80.7,89.8
26.07.2023,93.9,97.4,93.7,90.4,100.7
23.08.2023,102.8,104.7,102.6,103.4,103.4
27.09.2023,103.8,109.9,103.9,101.4,93.0
25.10.2023,102.8,98.2,103.8,98.2,97.5
