date,for_month,VVP_perc
2023-09-27 19:00:00,8,5.2
2023-08-30 21:00:00,7,5.0
2023-08-02 20:00:00,6,5.3
2023-06-28 20:00:00,5,5.4
2023-05-31 20:00:00,4,3.3
2023-05-03 20:00:00,3,-1.1
2023-03-29 21:00:00,2,-3.1
2023-03-01 20:00:00,1,-3.2
2023-02-01 00:00:00,12,-3.6
2022-12-28 20:00:00,11,-4.0
2022-11-30 21:00:00,10,-4.4
2022-11-02 21:00:00,9,-5.0
2022-09-28 20:00:00,8,-4.1
2022-08-31 21:00:00,7,-4.3
2022-07-27 22:00:00,6,-4.9
2022-06-30 09:00:00,5,-4.3
2022-06-01 20:00:00,4,-3.0
2022-05-27 22:00:00,3,-2.1
2022-04-27 22:00:00,2,1.6
2022-03-24 09:00:00,1,6.6
2022-02-09 21:00:00,12,4.3
2021-12-29 22:00:00,11,5.2
2021-12-01 00:00:00,10,4.9
2022-10-29 00:00:00,9,3.4
2021-10-01 21:00:00,8,3.7
2021-09-01 21:00:00,7,4.7
2021-07-29 02:00:00,6,8.5
2021-07-01 11:00:00,5,10.9
2021-06-07 09:00:00,4,10.7
2021-04-20 20:00:00,3,0.5
2021-03-19 22:00:00,2,-2.8
2021-02-18 23:00:00,1,-2.4
2022-02-01 20:00:00,12,-3.1
2020-12-18 21:00:00,11,-3.7
2020-11-20 20:00:00,10,-4.7
2020-10-20 21:00:00,9,-3.3
2020-09-20 12:00:00,8,-4.3
2020-08-20 21:00:00,7,-4.7
2020-07-17 20:00:00,6,-6.4
2020-06-19 20:00:00,5,-10.9
2020-05-28 23:00:00,4,-12.0
2020-04-30 21:00:00,3,0.9
2020-03-23 17:00:00,2,2.9
2020-02-20 17:00:00,1,1.6
2020-01-30 18:00:00,12,2.4
2019-12-18 16:00:00,11,1.6
2019-11-20 18:00:00,10,2.2
2019-10-17 17:00:00,9,2.0
2019-09-19 14:00:00,8,1.6
2019-08-19 17:00:00,7,1.7
2019-07-18 10:00:00,6,0.7
2019-06-21 17:00:00,5,0.2
2019-05-24 17:00:00,4,1.6
2019-04-18 17:00:00,3,0.6
2019-03-21 16:00:00,2,1.5
2019-02-20 16:00:00,1,0.7
2019-01-25 18:00:00,12,1.9
2018-12-19 18:00:00,11,1.8
