month,day,on,off
1.0,1.0,16-16,7-49
1.0,6.0,16-24,7-47
1.0,11.0,16-32,7-42
1.0,16.0,16-40,7-37
1.0,21.0,16-49,7-30
1.0,26.0,17-01,7-21
2.0,1.0,17-10,7-13
2.0,6.0,17-20,7-04
2.0,11.0,17-30,6-55
2.0,16.0,17-41,6-43
2.0,21.0,17-51,6-32
2.0,26.0,17-57,6-24
3.0,1.0,18-09,6-11
3.0,6.0,18-19,5-59
3.0,11.0,18-29,5-46
3.0,16.0,18-38,5-33
3.0,21.0,18-49,5-20
3.0,26.0,19-01,5-03
4.0,1.0,20-11,5-49
4.0,6.0,20-23,5-36
4.0,11.0,20-32,5-23
4.0,16.0,20-42,5-11
4.0,21.0,20-53,4-58
4.0,26.0,21-04,4-46
5.0,1.0,21-14,4-35
5.0,6.0,21-25,4-23
5.0,11.0,21-34,4-13
5.0,16.0,21-42,4-04
5.0,21.0,21-52,3-55
5.0,26.0,22-01,3-47
6.0,1.0,22-09,3-40
6.0,6.0,22-15,3-36
6.0,11.0,22-20,3-33
6.0,16.0,22-21,3-33
6.0,21.0,22-21,3-35
6.0,26.0,22-21,3-38
7.0,1.0,22-17,3-43
7.0,6.0,22-13,3-49
7.0,11.0,22-09,3-56
7.0,16.0,22-00,4-05
7.0,21.0,21-51,4-13
7.0,26.0,21-40,4-25
8.0,1.0,21-30,4-35
8.0,6.0,21-18,4-46
8.0,11.0,21-06,4-56
8.0,16.0,20-55,5-07
8.0,21.0,20-42,5-17
8.0,26.0,20-26,5-29
9.0,1.0,20-12,5-39
9.0,6.0,19-59,5-50
9.0,11.0,19-44,6-00
9.0,16.0,19-31,6-09
9.0,21.0,19-20,6-19
9.0,26.0,19-07,6-29
10.0,1.0,17-56,5-37
10.0,6.0,17-43,5-47
10.0,11.0,17-30,5-57
10.0,16.0,17-18,6-05
10.0,21.0,17-07,6-15
10.0,26.0,16-54,6-27
11.0,1.0,16-44,6-38
11.0,6.0,16-34,6-48
11.0,11.0,16-26,6-59
11.0,16.0,16-18,7-09
11.0,21.0,16-10,7-17
11.0,26.0,16-07,7-26
12.0,1.0,16-04,7-31
12.0,6.0,16-01,7-38
12.0,11.0,16-01,7-44
12.0,16.0,16-02,7-47
12.0,21.0,16-04,7-49
12.0,26.0,16-10,7-50
